url_path	file	route_group	client_guard
/admin/analytics	app/(admin)/admin/analytics/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/audit-logs	app/(admin)/admin/audit-logs/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/billing-admin	app/(admin)/admin/billing-admin/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/feature-flags	app/(admin)/admin/feature-flags/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/geography	app/(admin)/admin/geography/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/groups/[id]/members/[memberId]	app/(admin)/admin/groups/[id]/members/[memberId]/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/groups/[id]	app/(admin)/admin/groups/[id]/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/groups	app/(admin)/admin/groups/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/monitoring	app/(admin)/admin/monitoring/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/organizations/[id]	app/(admin)/admin/organizations/[id]/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/organizations/compare	app/(admin)/admin/organizations/compare/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin/organizations	app/(admin)/admin/organizations/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
/admin	app/(admin)/admin/page.tsx	(admin)	client: audience==backoffice && platformRole in [super_admin,support,organization_coordinator] (app/(admin)/layout.tsx)
